MLS ,MLSID,GEOID
ACTRIS/ABOR,a0M1500000UR3OW,48021
ACTRIS/ABOR,a0M1500000UR3OW, 48031
ACTRIS/ABOR,a0M1500000UR3OW, 48053
ACTRIS/ABOR,a0M1500000UR3OW, 48453
AKMLS,a0M1500000UR3OX,02122
AKMLS,a0M1500000UR3OX,02170
AlaMLS,a0M1500000URAeb,01001
AlaMLS,a0M1500000URAeb, 01007
AlaMLS,a0M1500000URAeb, 01011
AlaMLS,a0M1500000URAeb, 01013
AlaMLS,a0M1500000URAeb, 01021
AlaMLS,a0M1500000URAeb, 01037
AlaMLS,a0M1500000URAeb, 01047
AlaMLS,a0M1500000URAeb, 01051
AlaMLS,a0M1500000URAeb, 01065
AlaMLS,a0M1500000URAeb, 01081
AlaMLS,a0M1500000URAeb, 01085
AlaMLS,a0M1500000URAeb, 01087
AlaMLS,a0M1500000URAeb, 01101
AlaMLS,a0M1500000URAeb, 01105
AlaMLS,a0M1500000URAeb, 01109
ARMLS,a0M1500000UR3Ob,04013
ARMLS,a0M1500000UR3Ob, 04021
BAREIS,a0M1500000UR3Oe,06041
BAREIS,a0M1500000UR3Oe, 06045
BAREIS,a0M1500000UR3Oe, 06055
BAREIS,a0M1500000UR3Oe, 06095
BAREIS,a0M1500000UR3Oe, 06097
BeachesMLS,a0M1500000UR3Oh,12021
Bright MLS,a0M1500000UdTEt,10001
Bright MLS,a0M1500000UdTEt, 10003
Bright MLS,a0M1500000UdTEt, 10005
Bright MLS,a0M1500000UdTEt, 24001
Bright MLS,a0M1500000UdTEt, 24003
Bright MLS,a0M1500000UdTEt, 24005
Bright MLS,a0M1500000UdTEt, 24009
Bright MLS,a0M1500000UdTEt, 24011
Bright MLS,a0M1500000UdTEt, 24013
Bright MLS,a0M1500000UdTEt, 24015
Bright MLS,a0M1500000UdTEt, 24017
Bright MLS,a0M1500000UdTEt, 24019
Bright MLS,a0M1500000UdTEt, 24021
Bright MLS,a0M1500000UdTEt, 24023
Bright MLS,a0M1500000UdTEt, 24025
Bright MLS,a0M1500000UdTEt,24045
Bright MLS,a0M1500000UdTEt,34005
Bright MLS,a0M1500000UdTEt,34011
Bright MLS,a0M1500000UdTEt,34007
Bright MLS,a0M1500000UdTEt,24047
Bright MLS,a0M1500000UdTEt,24043
Bright MLS,a0M1500000UdTEt,34015
Bright MLS,a0M1500000UdTEt,24027
Bright MLS,a0M1500000UdTEt,24029
Bright MLS,a0M1500000UdTEt,34019
Bright MLS,a0M1500000UdTEt,34021
Bright MLS,a0M1500000UdTEt,24041
Bright MLS,a0M1500000UdTEt,34029
Bright MLS,a0M1500000UdTEt,24031
Bright MLS,a0M1500000UdTEt,42017
Bright MLS,a0M1500000UdTEt,42011
Bright MLS,a0M1500000UdTEt,51069
Bright MLS,a0M1500000UdTEt,42101
Bright MLS,a0M1500000UdTEt,51061
Bright MLS,a0M1500000UdTEt,51059
Bright MLS,a0M1500000UdTEt,51047
Bright MLS,a0M1500000UdTEt,51113
Bright MLS,a0M1500000UdTEt,51043
Bright MLS,a0M1500000UdTEt,51107
Bright MLS,a0M1500000UdTEt,51099
Bright MLS,a0M1500000UdTEt,51033
Bright MLS,a0M1500000UdTEt,51013
Bright MLS,a0M1500000UdTEt,51139
Bright MLS,a0M1500000UdTEt,42133
Bright MLS,a0M1500000UdTEt,42107
Bright MLS,a0M1500000UdTEt,42099
Bright MLS,a0M1500000UdTEt,51153
Bright MLS,a0M1500000UdTEt,42091
Bright MLS,a0M1500000UdTEt,51157
Bright MLS,a0M1500000UdTEt,54071
Bright MLS,a0M1500000UdTEt,54065
Bright MLS,a0M1500000UdTEt,54057
Bright MLS,a0M1500000UdTEt,54037
Bright MLS,a0M1500000UdTEt,54031
Bright MLS,a0M1500000UdTEt,54027
Bright MLS,a0M1500000UdTEt,54023
Bright MLS,a0M1500000UdTEt,54003
Bright MLS,a0M1500000UdTEt,51187
Bright MLS,a0M1500000UdTEt,51179
Bright MLS,a0M1500000UdTEt,51171
Bright MLS,a0M1500000UdTEt,42057
Bright MLS,a0M1500000UdTEt,51137
Bright MLS,a0M1500000UdTEt,51177
Bright MLS,a0M1500000UdTEt,42075
Bright MLS,a0M1500000UdTEt,42071
Bright MLS,a0M1500000UdTEt,42055
Bright MLS,a0M1500000UdTEt,42045
Bright MLS,a0M1500000UdTEt,42043
Bright MLS,a0M1500000UdTEt,42041
